date,company,title,link,score,comment
2026-06-28,CTCグループ健康保険組合,「健康経営優良法人2025（ホワイト500）」に認定（2025年03月18日） | CTC - ctc-g.co.jp,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBqZVB6WkdGc2laZEEyMUp6b3RkdXhwYzZuN3N0RTZqc2lKN3Y4NmlldzNFT25BRlJXMVpfOGRwbFNTcTl2UUVsQ0NnNTJZTWxKV0NXLTVXX1ZXQ3B5enhtNDVMWQ?oc=5,0,
2026-06-28,ENEOS株式会社,ＥＮＥＯＳホールディングス[5020]：コーポレート・ガバナンスに関する報告書 2026/06/26 2026年6月25日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,https://news.google.com/rss/articles/CBMiakFVX3lxTE9EdFZIZzFlTEVraC03MGdwODF2Y1dFVzY5R3RWRHRCdHpKN2dvQjdPc0tyQUtnZUQxektPMVBkUkxNQlpfZDQ1TTMwRDFvSHBqSEpzcm9fcEtfUUZTU1RPVVlZMTdrcS1yRnc?oc=5,0,
2026-06-28,ENEOS株式会社,ENEOSホールディングスは「日本車いすバスケットボール連盟」に今年度も協賛します！ - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE5CaTBzQWxDTWI5YjVHZHkyZl85TjJSRm44ajl5ZzlxSUZiUkMwdDVReWlkTjM2M0FyTUhocEJiVGcycXI0bVBwSHUwa0JncXlDUFdMT0YxZkRXRnJRWEJ3N2FoblM1Y3M2M3c?oc=5,0,
2026-06-28,ENEOS株式会社,とくしま森林バンクとENEOSが森林由来J-クレジットの長期売買契約を締結 - 山陽新聞,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBVTVUwdjFtRTZZSmNXUE9uT3lybXh2YjROc1dYRmgtWERiMzN1UHg5X2YzdmxlVFRhekpqTmFUZlV4YVpvRWUwTmtGZ1M2Rkp6YTRfdmpWczNxWjQ?oc=5,0,
2026-06-28,ENEOS株式会社,新造レストランシップに水素燃料電池システムを採用 - 日本郵船株式会社,https://news.google.com/rss/articles/CBMiVkFVX3lxTFAzZUFqZl9MSlVKdUlkdDJrejFfMnE1MXg0Y3NqTEp0Wm9JU2FpWE9vanhCeFRVTkhKQ0JYNUs2SnZvbUhyV1JCZ1o1Y1B5X21rWExyZzVn?oc=5,0,
2026-06-28,ENEOS株式会社,とくしま森林バンクとENEOSが森林由来J-クレジットの長期売買契約を締結 企業リリース - 日刊工業新聞,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5ZQXA0c2k4cXJpc29GU2ZROGRYWF8zYVpFcnZHQjlLMjFoWGp4NWZsSWxudml3dXlvMk1oMnlhclBiRHc1WFNMREVXb21PenQ4SVdTcEFXRXU?oc=5,0,
2026-06-28,EY新日本有限責任監査法人,好評につき再配信！【SSBJ対応Vol.2-保証編-】～EY新日本有限責任監査法人 松本氏・久保氏登壇～ SSBJ第三者保証取得に向けた実務のカンドコロ - Zeroboard,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1aanJUY1ptYkE0SXZDa2lEUmw4eDR2Z2tYNHpDaG44QjhVeFZTRjFhRnFKbkhMeUFXT1JBZHJZOXpSbVNUNWJhLTdQcng5UQ?oc=5,0,
2026-06-28,EY新日本有限責任監査法人,EY新日本所属の公認会計士「監査報酬獲得額」実名＆実額ランキング【457人・2026年版】みずほFG、野村HD、SOMPO HD担当者が上位に！ - ダイヤモンド・オンライン,https://news.google.com/rss/articles/CBMiTEFVX3lxTFBMMTBnV0FkaEU3cHR4dmlUUko4ZUN1VnpuQ3NGR3NHZkVYaXhlQmxDZVJ0TURLTnMzWWlVX3VPclZmTWVTV0hDZ1otYjU?oc=5,0,
2026-06-28,EY新日本有限責任監査法人,SSBJ開示対応の実務上の論点とは ――不動産・建設業等セクターにおける重要なリスク及び機会の識別ポイント - EY,https://news.google.com/rss/articles/CBMifkFVX3lxTE95NGQzeUpYVEM0MW9fdGVHN1JkUkxXT1dJQWVOOHk3QVRlTV9VbXR2ZHRLTkJMaUZ2WG5QbmZlOV9kY2lKNmRTUGxNQmJfTmZuOTZrcHVQNUcyMkVXUEUzOTREaXgzWFVzb3RPX2FpTzhmRzh3NV9wNXlvWmlEUQ?oc=5,0,
2026-06-28,EY新日本有限責任監査法人,EY新日本、京都事務所を開設 - 沖縄タイムス社,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1SSTU1ZTB4Z0N6eXlLeWVzUkthcDFDcWxqRXFZbHZBaEt6VjlGMHozYW5vejlhczhoYzBGYlNfTG5XaHpyX2xUNUpOcVBEUUcwOVd0NGR5aVdiZTVCZnc?oc=5,0,
